start,end,emotion,valence,arousal,duration
0.0,5.28,sadness,-0.5181,-0.35,5.28
5.28,12.24,sadness,-0.5275,-0.35,6.96
12.24,19.52,neutral,-0.1517,-0.5,7.279999999999999
19.52,23.12,neutral,-0.1668,-0.5,3.6000000000000014
24.0,28.880000000000003,neutral,-0.1435,-0.5,4.880000000000003
28.880000000000003,33.92,neutral,-0.1594,-0.5,5.039999999999999
33.92,43.28,anger,-0.4744,-0.05,9.36
43.28,50.16,surprise,0.0544,-0.05,6.8799999999999955
50.16,56.48,neutral,-0.204,-0.5,6.32
56.48,61.67999999999999,neutral,-0.2641,-0.5,5.199999999999996
61.67999999999999,69.75999999999999,neutral,-0.209,-0.5,8.079999999999998
69.75999999999999,76.0,neutral,-0.1965,-0.5,6.240000000000009
76.0,82.16,neutral,-0.2108,-0.5,6.159999999999997
82.16,87.52,neutral,-0.2472,-0.5,5.359999999999999
87.52,95.44,neutral,-0.2025,-0.5,7.920000000000002
95.44,100.56,neutral,-0.2312,-0.4537,5.1200000000000045
100.56,105.36,fear,-0.5191,-0.1,4.799999999999997
105.36,108.4,neutral,-0.1696,-0.5,3.0400000000000063
108.4,114.16,neutral,-0.2047,-0.5,5.759999999999991
114.16,120.32,neutral,-0.2036,-0.5,6.159999999999997
120.32,125.03999999999999,sadness,-0.5723,-0.35,4.719999999999999
125.03999999999999,128.88,neutral,-0.2278,-0.5,3.8400000000000034
128.88,132.8,neutral,-0.2201,-0.5,3.920000000000016
132.8,139.28,fear,-0.5154,-0.1,6.47999999999999
139.28,145.20000000000002,neutral,-0.1849,-0.5,5.920000000000016
145.20000000000002,149.04000000000002,neutral,-0.2162,-0.5,3.8400000000000034
149.04000000000002,153.20000000000002,neutral,-0.2468,-0.5,4.159999999999997
153.20000000000002,157.76000000000002,neutral,-0.2271,-0.5,4.560000000000002
157.76,163.51999999999998,neutral,-0.1808,-0.5,5.759999999999991
164.56,172.23999999999998,neutral,-0.2021,-0.5,7.679999999999978
172.23999999999998,179.44,joy,0.2562,-0.1,7.200000000000017
179.44,188.0,surprise,0.0801,-0.0022,8.560000000000002
190.24,198.32,neutral,-0.1915,-0.47,8.079999999999984
198.32,204.24,neutral,-0.2061,-0.4122,5.920000000000016
204.24,212.56,joy,0.1972,-0.0492,8.319999999999993
213.60000000000002,218.96,neutral,-0.2494,-0.5,5.359999999999985
218.96,226.64000000000001,neutral,-0.1929,-0.5,7.680000000000007
226.64000000000001,230.72,neutral,-0.1729,-0.4738,4.079999999999984
230.72,234.56,neutral,-0.1203,-0.4256,3.8400000000000034
235.12,242.0,neutral,-0.0532,-0.5,6.8799999999999955
242.0,247.04,neutral,-0.1342,-0.4945,5.039999999999992
247.04,252.72,neutral,-0.1135,-0.5,5.680000000000007
