start,end,text,emotion,valence,arousal,dominance,duration
0.0,3.0,(instrumental),surprise,0.0,0.49999999999999967,0.24489999999999998,3.0
1.5,4.5,(instrumental),surprise,0.0,0.4999999999999999,0.24490000000000003,3.0
3.0,6.0,(instrumental),surprise,0.0,0.5,0.2449000000000001,3.0
4.5,7.5,(instrumental),surprise,0.0,0.5,0.2449000000000001,3.0
7.5,10.5,(instrumental),surprise,0.0,0.49999999999999994,0.2449000000000001,3.0
9.0,12.0,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
10.5,13.5,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
13.5,16.5,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
15.0,18.0,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
16.5,19.5,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
18.0,21.0,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
21.0,24.0,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
22.5,25.5,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
24.0,27.0,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
27.0,30.0,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
28.5,31.5,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
30.0,33.0,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
31.5,34.5,(instrumental),surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
34.5,37.5,Hey!,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
36.0,39.0,Hey! Hey! That's it!,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
37.5,40.5,Hey! Hey! That's it!,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
40.5,43.5,That's it! That's it! for you!,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
42.0,45.0,That's it! That's it! for you! You lil discussing,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
43.5,46.5,That's it! for you! You lil discussing,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
45.0,48.0,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
48.0,51.0,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
49.5,52.5,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
51.0,54.0,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
54.0,57.0,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
55.5,58.5,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
57.0,60.0,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
58.5,61.5,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
61.5,64.5,ELRI composable,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
63.0,66.0,ELRI composable a,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
64.5,67.5,ELRI composable a,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
67.5,70.5,ELRI composable a,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
69.0,72.0,ELRI composable a,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
70.5,73.5,a Why'd you do that?,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
72.0,75.0,a Why'd you do that? the source?,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
75.0,78.0,a Ilw food!,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
76.5,79.5,a Ilw food! Why?,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
78.0,81.0,a Ilw food! Why?,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
81.0,84.0,a Ilw food!,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
82.5,85.5,a Ilw food!,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
84.0,87.0,a Ilw food!,surprise,0.0,0.5000000000000021,0.24490000000000112,3.0
85.5,88.5,a Ilw,surprise,0.0,0.49999999999999967,0.2449,3.0
88.5,91.5,a Ilw,surprise,0.0,0.4999999999999995,0.24489999999999992,3.0
90.0,93.0,a Ilw,surprise,0.0,0.4999999999999994,0.24489999999999984,3.0
91.5,94.5,Ilw,surprise,0.0,0.4999999999999993,0.24489999999999973,3.0
94.5,97.5,Ilw,surprise,0.0,0.4999999999999992,0.24489999999999962,2.07179138321996
