start,end,text,emotion,valence,arousal,dominance,duration
0.096,5.096,The crucial new report showing the U.S. economy shrinking for the first time in three years.,neutral,-0.07505314685314661,0.3806559440559439,0.24489999999999998,5.0
5.096,12.096,"The GDP fell at a rate of 0.3 percent as President Trump's massive and ever-changing tariffs,",neutral,-0.03244405594405576,0.3805202797202797,0.24490000000000003,7.0
12.096,15.096,rattle consumers and businesses.,neutral,-0.005899766899766748,0.3804363636363637,0.2449000000000001,3.0
15.096,18.096,"Moments ago, on his 101st day in office,",neutral,0.00773449883449899,0.38039300699300704,0.2449000000000001,3.0
18.432,22.192,The president tried to pin this data on his predecessor.,neutral,0.011613519813519976,0.38037902097902093,0.2449000000000001,3.7600000000000016
23.552,29.652,Core GDP and this is you know you probably saw some numbers today and I have to start,neutral,0.008892074592074636,0.3803832167832185,0.24490000000000112,6.100000000000001
29.652,30.752,up and say that's bye.,neutral,0.0036424242424242617,0.38021958041958204,0.24490000000000112,1.0999999999999979
31.616,34.016,That's not Trump because we came in on January,neutral,2.843822843823027e-05,0.38041748251748425,0.24490000000000112,2.3999999999999986
34.016,35.416,with just a quarterly numbers.,neutral,-0.00123379953379954,0.3805277389277406,0.24490000000000112,1.3999999999999986
35.904,37.904,And we came in and...,neutral,0.0004335664335664349,0.3804438228438245,0.24490000000000112,2.0
38.848,40.848,"I was very, uh...",neutral,0.0005342657342657362,0.38062517482517655,0.24490000000000112,2.0
41.376,44.576,against everything that Biden was doing in terms of the economy.,neutral,0.0005613053613053635,0.38066736596736767,0.24490000000000112,3.200000000000003
45.856,51.356,"And I'm joined here by some amazing reporter, CNN's Alana Treen, Susan Glasser of the New",neutral,0.0005023310023310048,0.3806871794871811,0.24490000000000112,5.5
51.356,57.936,"Yorker, Nea Malika Henderson of CNN in Bloomberg, and CNN's very own Phil Mattingley.",neutral,0.000614219114219117,0.38063310023310193,0.24490000000000112,6.579999999999998
57.936,60.456,The top line number is not one you should focus on.,neutral,0.0005871794871794897,0.38053333333333506,0.24490000000000112,2.520000000000003
60.456,62.376000000000005,That is a reality here.,neutral,0.0004953379953379977,0.3804305361305378,0.24490000000000112,1.9200000000000017
62.376000000000005,69.736,I think the most concrete takeaway from this GDP print is the economy going into April,neutral,0.00034545454545454696,0.3802363636363653,0.24490000000000112,7.359999999999999
69.736,73.136,"2, the so-called Liberation Day, was solid.",neutral,2.097902097901733e-06,0.3802608391608408,0.24490000000000112,3.3999999999999915
73.136,77.936,"We have seen that across the numbers, whether it's jobs, whether it's wages, whether it's",neutral,0.00034428904428904575,0.3801032634032651,0.24490000000000112,4.800000000000011
77.936,79.696,investment.,neutral,0.00031888111888112036,0.37994242424242597,0.24490000000000112,1.759999999999991
79.696,82.29599999999999,"Going into that moment, it was solid.",neutral,9.906759906759973e-05,0.3801093240093257,0.24490000000000112,2.5999999999999943
82.29599999999999,87.49600000000001,In preparation for that moment is where you saw kind of the core of how things were driven,neutral,0.000902097902097903,0.3801039627039644,0.24490000000000112,5.200000000000017
87.49600000000001,95.29599999999999,"within this report, which is an absolute almost once in a generation surge in imports, mostly",neutral,-0.00034918414918415114,0.38009603729603897,0.24490000000000112,7.799999999999983
95.29599999999999,99.77600000000001,"economists believe, because companies were trying to frontrun those checks or trying to",neutral,-0.0009016317016317054,0.38015221445221614,0.24490000000000112,4.480000000000018
99.77600000000001,102.536,"pull forward, essentially all their purchases.",neutral,-0.0020648018648018727,0.38013962703962867,0.24490000000000112,2.759999999999991
102.536,104.33600000000001,That private investment is real.,neutral,-0.002817948717948728,0.3802142191142208,0.24490000000000112,1.8000000000000114
104.33600000000001,106.576,The concern is that that's not actually going to be maintained over time.,neutral,-0.0032277389277389408,0.3802615384615402,0.24490000000000112,2.2399999999999807
106.576,110.33600000000001,It's not going to be consistent because they're trying to pull it forward.,neutral,-0.003104428904428918,0.3802892773892791,0.24490000000000112,3.7600000000000193
