Start Time (s),Valence,Arousal,Dominance
0.0,0.0846,-0.0355,0.0245
0.5,-0.4776,-0.186,-0.3201
1.0,-0.0166,0.032,0.0077
1.5,-0.146,-0.4415,-0.2855
2.0,-0.1311,0.2552,0.062
2.5,-0.286,-0.3921,-0.3266
3.0,-0.3386,-0.2453,-0.2839
3.5,-0.3038,-0.2081,-0.2505
4.0,-0.2874,-0.2612,-0.2676
4.5,-0.1085,0.3763,0.1331
5.0,-0.0269,0.1548,0.0639
5.5,-0.6962,0.5046,-0.0955
6.0,-0.2382,-0.0081,-0.1225
6.5,-0.3573,0.0072,-0.1733
7.0,-0.0468,0.1374,0.0453
7.5,-0.4582,-0.0677,-0.257
8.0,0.4113,0.3887,0.38
8.5,-0.5347,0.2912,-0.1212
9.0,0.3019,0.485,0.3743
