Start Time (s),Valence,Arousal,Dominance
0,-0.168,-0.4292,-0.4301
1,-0.2453,-0.3376,-0.3813
2,0.8018,0.5896,0.4748
3,-0.2859,0.3712,0.1037
4,-0.1814,0.244,0.0962
5,-0.4023,0.1113,-0.0219
6,-0.1787,0.2705,0.1048
7,-0.2246,0.4928,0.3197
8,-0.1146,0.4153,0.2405
9,-0.0047,0.2399,0.0706
10,-0.219,0.0411,-0.1493
11,-0.0432,-0.0809,-0.1267
12,-0.0003,0.041,-0.1414
13,-0.0185,0.2459,0.1581
14,0.2855,0.7096,0.5775
15,-0.0302,0.4418,0.214
16,-0.0398,0.3696,0.2015
17,-0.3079,-0.0289,-0.1284
18,-0.3482,-0.0773,-0.1799
19,0.0759,0.4936,0.2841
20,-0.142,0.2789,0.0948
