Start Time (s),Valence,Arousal,Dominance
0.0,0.0367,0.1153,0.0758
0.5,-0.0939,0.0617,-0.0161
1.0,-0.145,0.4858,0.1688
1.5,-0.0052,0.2104,0.1022
2.0,0.7675,0.5894,0.5905
2.5,-0.0534,0.0315,-0.0109
3.0,-0.203,-0.2518,-0.2236
3.5,-0.2055,-0.1592,-0.1804
4.0,-0.2029,0.1143,-0.0443
4.5,-0.2792,0.1311,-0.074
5.0,0.4713,0.5295,0.4624
5.5,0.7903,0.6518,0.6176
6.0,0.852,0.6496,0.6356
6.5,0.2425,0.4215,0.3203
7.0,-0.2651,-0.199,-0.228
7.5,0.852,0.8076,0.6804
8.0,0.6332,0.6494,0.5658
8.5,-0.0966,0.1193,0.0113
9.0,0.0126,0.2788,0.1447
