image_path,category,filename,valence_score,arousal_score,high_valence,low_valence,high_arousal,low_arousal,valence_bias_applied,valence_class,arousal_class,quadrant,valence_z,arousal_z,valence_normalized,arousal_normalized,source_dir
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\banded\banded_0024.jpg,banded,banded_0024.jpg,0.04157714843749999,-0.00634765625,0.257275390625,0.2156982421875,0.208251953125,0.214599609375,0.05,high,low,high_low,-0.20816055584403959,-1.8080591867645628,-0.08326422233761584,-0.7232236747058252,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\banded\banded_0059.jpg,banded,banded_0059.jpg,0.03962402343749999,-0.00439453125,0.2346923828125,0.195068359375,0.1876220703125,0.1920166015625,0.05,high,low,high_low,-0.586719248565616,-1.2460479743043842,-0.2346876994262464,-0.4984191897217537,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\banded\banded_0125.jpg,banded,banded_0125.jpg,0.04597167968749999,0.0015869140625,0.25068359375,0.2047119140625,0.2034912109375,0.201904296875,0.05,high,high,high_high,0.6435965027795072,0.4751113638549132,0.2574386011118029,0.1900445455419653,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\banded\banded_0133.jpg,banded,banded_0133.jpg,0.03901367187499999,-0.00341796875,0.249951171875,0.2109375,0.2037353515625,0.2071533203125,0.05,high,low,high_low,-0.7050188400411086,-0.9650423680742948,-0.28200753601644346,-0.3860169472297179,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0003.jpg,blotchy,blotchy_0003.jpg,0.03498535156249999,0.0032958984375,0.2427490234375,0.207763671875,0.201904296875,0.1986083984375,0.05,high,high,high_high,-1.4857961437793599,0.9668711747575695,-0.594318457511744,0.3867484699030278,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0006.jpg,blotchy,blotchy_0006.jpg,0.04267578124999999,-0.000732421875,0.2530029296875,0.2103271484375,0.206298828125,0.20703125,0.05,high,low,high_low,0.00477870881184712,-0.19227695094154904,0.0019114835247388481,-0.07691078037661961,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0009.jpg,blotchy,blotchy_0009.jpg,0.03474121093749999,-0.0042724609375,0.2481201171875,0.21337890625,0.20361328125,0.2078857421875,0.05,high,low,high_low,-1.5331159803695569,-1.2109222735256229,-0.6132463921478227,-0.4843689094102491,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0019.jpg,blotchy,blotchy_0019.jpg,0.04414062499999999,-0.0001220703125,0.2578857421875,0.2137451171875,0.210693359375,0.2108154296875,0.05,high,low,high_low,0.2886977283530294,-0.016648447047743174,0.11547909134121177,-0.00665937881909727,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0028.jpg,blotchy,blotchy_0028.jpg,0.03559570312499999,0.0008544921875,0.243603515625,0.2080078125,0.201171875,0.2003173828125,0.05,high,high,high_high,-1.3674965523038671,0.26435715918234615,-0.5469986209215468,0.10574286367293846,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0029.jpg,blotchy,blotchy_0029.jpg,0.04145507812499999,0.001220703125,0.260205078125,0.21875,0.215087890625,0.2138671875,0.05,high,high,high_high,-0.23182047413913812,0.3697342615186297,-0.09272818965565524,0.14789370460745188,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0033.jpg,blotchy,blotchy_0033.jpg,0.03510742187499999,-0.00537109375,0.2708251953125,0.2357177734375,0.2255859375,0.23095703125,0.05,high,low,high_low,-1.4621362254842614,-1.5270535805344734,-0.5848544901937045,-0.6108214322137894,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0034.jpg,blotchy,blotchy_0034.jpg,0.03254394531249999,-0.00341796875,0.264599609375,0.2320556640625,0.2215576171875,0.2249755859375,0.05,high,low,high_low,-1.9589945096813304,-0.9650423680742948,-0.7835978038725322,-0.3860169472297179,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0038.jpg,blotchy,blotchy_0038.jpg,0.03718261718749999,0.0003662109375,0.281689453125,0.2445068359375,0.23828125,0.2379150390625,0.05,high,high,high_high,-1.0599176144675864,0.12385435606730151,-0.42396704578703454,0.0495417424269206,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0052.jpg,blotchy,blotchy_0052.jpg,0.03413085937499999,-0.0029296875,0.2361572265625,0.2020263671875,0.192626953125,0.195556640625,0.05,high,low,high_low,-1.6514155718450496,-0.8245395649592501,-0.6605662287380198,-0.3298158259837,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0056.jpg,blotchy,blotchy_0056.jpg,0.03718261718749999,-0.0001220703125,0.2510498046875,0.2138671875,0.2073974609375,0.20751953125,0.05,high,low,high_low,-1.0599176144675864,-0.016648447047743174,-0.42396704578703454,-0.00665937881909727,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0071.jpg,blotchy,blotchy_0071.jpg,0.04194335937499999,0.000244140625,0.2674072265625,0.2254638671875,0.2215576171875,0.2213134765625,0.05,high,high,high_high,-0.13718080095874402,0.08872865528854033,-0.05487232038349761,0.035491462115416136,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0073.jpg,blotchy,blotchy_0073.jpg,0.03913574218749999,-0.0020751953125,0.258251953125,0.2191162109375,0.212646484375,0.2147216796875,0.05,high,low,high_low,-0.6813589217460101,-0.5786596595079219,-0.272543568698404,-0.23146386380316875,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0074.jpg,blotchy,blotchy_0074.jpg,0.03950195312499999,-0.00341796875,0.2571533203125,0.2176513671875,0.210693359375,0.214111328125,0.05,high,low,high_low,-0.6103791668607145,-0.9650423680742948,-0.2441516667442858,-0.3860169472297179,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0088.jpg,blotchy,blotchy_0088.jpg,0.04206542968749999,-0.0018310546875,0.269482421875,0.2274169921875,0.2225341796875,0.224365234375,0.05,high,low,high_low,-0.11352088266364549,-0.5084082579503996,-0.04540835306545819,-0.20336330318015983,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0091.jpg,blotchy,blotchy_0091.jpg,0.03498535156249999,-0.0025634765625,0.2541015625,0.2191162109375,0.2103271484375,0.212890625,0.05,high,low,high_low,-1.4857961437793599,-0.7191624626229666,-0.594318457511744,-0.28766498504918664,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\blotchy\blotchy_0094.jpg,blotchy,blotchy_0094.jpg,0.03632812499999999,-0.0050048828125,0.2615478515625,0.2252197265625,0.2158203125,0.2208251953125,0.05,high,low,high_low,-1.225537042533276,-1.4216764781981899,-0.49021481701331043,-0.568670591279276,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0064.jpg,braided,braided_0064.jpg,0.04536132812499999,0.0029296875,0.2405517578125,0.1951904296875,0.1943359375,0.19140625,0.05,high,high,high_high,0.5252969113040147,0.861494072421286,0.21011876452160588,0.34459762896851437,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0067.jpg,braided,braided_0067.jpg,0.04768066406249999,-0.0032958984375,0.2737548828125,0.22607421875,0.2232666015625,0.2265625,0.05,high,low,high_low,0.9748353589108866,-0.9299166672955336,0.38993414356435463,-0.37196666691821345,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0080.jpg,braided,braided_0080.jpg,0.04792480468749999,-0.001953125,0.2678955078125,0.219970703125,0.2178955078125,0.2198486328125,0.05,high,low,high_low,1.0221551955010837,-0.5435339587291607,0.40886207820043347,-0.21741358349166426,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0105.jpg,braided,braided_0105.jpg,0.05109863281249999,0.0028076171875,0.244091796875,0.1929931640625,0.1949462890625,0.192138671875,0.05,high,high,high_high,1.6373130711736452,0.8263683716425249,0.6549252284694581,0.33054734865700997,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0110.jpg,braided,braided_0110.jpg,0.04963378906249999,0.002197265625,0.25654296875,0.2069091796875,0.2078857421875,0.2056884765625,0.05,high,high,high_high,1.353394051632463,0.650739867748719,0.5413576206529852,0.26029594709948756,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0138.jpg,braided,braided_0138.jpg,0.05305175781249999,-0.001708984375,0.2427490234375,0.189697265625,0.1904296875,0.192138671875,0.05,high,low,high_low,2.0158717638952215,-0.47328255717163836,0.8063487055580886,-0.18931302286865534,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0153.jpg,braided,braided_0153.jpg,0.04035644531249999,-0.0013427734375,0.2403076171875,0.199951171875,0.1944580078125,0.19580078125,0.05,high,low,high_low,-0.44475973879502484,-0.36790545483535486,-0.17790389551800995,-0.14716218193414193,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0167.jpg,braided,braided_0167.jpg,0.04743652343749999,0.000732421875,0.2781494140625,0.230712890625,0.2298583984375,0.2291259765625,0.05,high,high,high_high,0.9275155223206896,0.229231458403585,0.37100620892827585,0.091692583361434,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\braided\braided_0186.jpg,braided,braided_0186.jpg,0.04768066406249999,-0.000244140625,0.2061279296875,0.158447265625,0.1571044921875,0.1573486328125,0.05,high,low,high_low,0.9748353589108866,-0.05177414782650434,0.38993414356435463,-0.020709659130601736,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\bubbly\bubbly_0053.jpg,bubbly,bubbly_0053.jpg,0.04658203124999999,0.0057373046875,0.243603515625,0.197021484375,0.1982421875,0.1925048828125,0.05,high,high,high_high,0.7618960942549998,1.669385190332793,0.30475843770199995,0.6677540761331172,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\bubbly\bubbly_0054.jpg,bubbly,bubbly_0054.jpg,0.04804687499999999,0.000244140625,0.2473876953125,0.1993408203125,0.198486328125,0.1982421875,0.05,high,high,high_high,1.0458151137961822,0.08872865528854033,0.41832604551847286,0.035491462115416136,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\bubbly\bubbly_0080.jpg,bubbly,bubbly_0080.jpg,0.03742675781249999,0.0015869140625,0.2366455078125,0.19921875,0.1937255859375,0.192138671875,0.05,high,high,high_high,-1.0125977778773894,0.4751113638549132,-0.40503911115095576,0.1900445455419653,gray_textures
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\dtd\gray_textures\bubbly\bubbly_0090.jpg,bubbly,bubbly_0090.jpg,0.03913574218749999,-0.0028076171875,0.2534912109375,0.21435546875,0.20751953125,0.2103271484375,0.05,high,low,high_low,-0.6813589217460101,-0.789413864180489,-0.272543568698404,-0.3157655456721956,gray_textures
