image_path,category,filename,valence_score,arousal_score,high_valence,low_valence,high_arousal,low_arousal,valence_bias_applied,valence_class,arousal_class,quadrant,valence_z,arousal_z,valence_normalized,arousal_normalized,source_dir
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0000_normal.png,normal_grey,texture_0000_normal.png,0.04792480468749999,-0.0091552734375,0.2530029296875,0.205078125,0.199462890625,0.2086181640625,0.05,high,low,high_low,0.7797220903683257,-0.9064095821146316,0.3118888361473303,-0.36256383284585264,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0001_normal.png,normal_grey,texture_0001_normal.png,0.05024414062499999,-0.00537109375,0.26630859375,0.216064453125,0.2135009765625,0.2188720703125,0.05,high,low,high_low,1.3180313609329852,0.25819150429802745,0.5272125443731941,0.10327660171921098,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0002_normal.png,normal_grey,texture_0002_normal.png,0.04084472656249999,-0.0052490234375,0.2683837890625,0.2275390625,0.2203369140625,0.2255859375,0.05,high,low,high_low,-0.8635377881974766,0.29575928127908097,-0.34541511527899066,0.11830371251163238,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0003_normal.png,normal_grey,texture_0003_normal.png,0.04536132812499999,-0.0059814453125,0.287060546875,0.24169921875,0.236328125,0.2423095703125,0.05,high,low,high_low,0.184748686060018,0.07035261939275987,0.07389947442400721,0.028141047757103948,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0004_normal.png,normal_grey,texture_0004_normal.png,0.04438476562499999,-0.0072021484375,0.272412109375,0.22802734375,0.2215576171875,0.228759765625,0.05,high,low,high_low,-0.04190784891457541,-0.3053251504177753,-0.016763139565830164,-0.12213006016711012,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0005_normal.png,normal_grey,texture_0005_normal.png,0.04499511718749999,-0.0078125,0.2532470703125,0.208251953125,0.2017822265625,0.2095947265625,0.05,high,low,high_low,0.09975248544454549,-0.49316403532304287,0.03990099417781819,-0.19726561412921714,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0006_normal.png,normal_grey,texture_0006_normal.png,0.04707031249999999,-0.004638671875,0.25361328125,0.20654296875,0.2027587890625,0.2073974609375,0.05,high,low,high_low,0.5813976222655565,0.4835981661843486,0.2325590489062226,0.19343926647373944,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0007_normal.png,normal_grey,texture_0007_normal.png,0.06013183593749999,-0.0037841796875,0.2674072265625,0.207275390625,0.21044921875,0.2142333984375,0.05,high,low,high_low,3.6129287775507435,0.7465726050517232,1.0,0.2986290420206893,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0009_normal.png,normal_grey,texture_0009_normal.png,0.05390624999999999,-0.0072021484375,0.266796875,0.212890625,0.2113037109375,0.218505859375,0.05,high,low,high_low,2.1679933670877105,-0.3053251504177753,0.8671973468350842,-0.12213006016711012,normal_grey
E:\ML For Design\Final\Machine_Aesthetics\texture_extractor\data\hugging_data\normal_grey\texture_0010_normal.png,normal_grey,texture_0010_normal.png,0.04121093749999999,-0.008544921875,0.2527587890625,0.2115478515625,0.202880859375,0.21142578125,0.05,high,low,high_low,-0.778541587582004,-0.718570697209364,-0.3114166350328016,-0.28742827888374556,normal_grey
